voltage      energy       rate         uncertainty
1.500000e-01 7.624076e-03 3.799115e-10 4.236053e-11
3.000000e-01 4.834734e-02 3.153841e-10 3.499212e-11
4.500000e-01 1.688480e-01 2.503530e-10 2.902867e-11
6.000000e-01 3.684960e-01 1.987232e-10 2.391729e-11
8.000000e-01 7.567378e-01 1.511652e-10 1.807935e-11
1.000000e+00 1.283130e+00 1.030717e-10 1.339893e-11
1.200000e+00 1.946245e+00 7.640689e-11 1.134175e-11
1.500000e+00 3.194213e+00 9.359933e-12 2.437212e-12
